Property Id,Property Name,"NYC Borough, Block and Lot (BBL)",NYC Building Identification Number (BIN),Address 1,City,Postal Code,ENERGY STAR Score,National Median ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),National Median Site EUI (kBtu/ft²),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Weather Normalized Site Electricity Intensity (kWh/ft²),Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),National Median Source EUI (kBtu/ft²),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kWh),Weather Normalized Site Electricity (kWh),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kWh)
3108358,DEPM 1450 - 345 East 86th St,1-01549-0018,1050030,345 East 86th Street,New York,10028,52,50,68.7,72.9,69.6,10696226.1,11361997.3,5.1,103.7,107.1,105.1,16147277.2,16685259.9,2809279.9,823352.7,796376.2,823352.8
2668970,SW - 5009 Broadway,1-02243-0030,1065002;1801294,5009 Broadway,New York,10034,23,50,100.8,108.5,83.6,9038798.4,9727630.4,4.5,133.8,140.8,110.9,11989348.3,12624329.6,1427777.1,418457.5,403670.6,418457.5
6667521,AKAM - 15 West 72nd Street,1-01125-0024,1028636,15 West 72nd Street,New York,10023,59,50,82.0,82.0,87.1,55286845.6,55283354.1,4.7,114.5,113.9,121.6,77196199.0,76803164.1,10940006.4,3206332.1,3141122.1,3206332.0
10894224,Progressive - 1434 Ogden Avenue,2-02522-0070,2113099,1434 Ogden Avenue,Bronx,10452,44,50,86.3,89.3,83.2,9010964.1,9324921.6,8.0,139.7,141.6,134.6,14585562.0,14783958.2,2928028.4,858155.9,836173.1,858156.0
20476442,345 Lenox Road Condominium,3-04837-7502,3425796,345 Lenox Road,Brooklyn,11226,100,50,25.1,26.0,58.5,986346.5,1020180.5,3.4,45.7,47.4,106.5,1794370.3,1860059.5,433546.5,127065.2,132116.9,127065.2
6671465,Renaissance Realty - 505 Lincoln Place,3-01178-0075,3029610,505 Lincoln Place,Brooklyn,11238,100,50,19.5,18.9,41.8,498210.8,482763.3,5.5,54.6,52.9,117.0,1394990.1,1351737.3,498210.8,146017.2,141489.8,146017.2
15568359,AKAM WVH - 352 West 11th Street,1-00637-0066,1078328;1078329;1078330;1078331;1078332,352 West 11th Street,New York,10014,94,50,33.5,35.2,51.3,2003668.7,2106509.8,10.3,93.8,98.6,143.7,5610272.2,5898227.3,2003668.7,587241.6,617382.6,587241.7
3113838,DEPM 1736 - 169 East 69th St,1-01404-0033,1042497,169 East 69th Street,New York,10021,88,50,42.5,43.8,59.2,11522853.9,11880280.8,3.2,68.3,69.9,95.1,18516608.8,18946189.1,2928111.1,858180.2,858180.2,858180.3
2668970,SW - 5009 Broadway,1-02243-0030,1065002;1801294,5009 Broadway,New York,10034,23,50,100.8,108.5,83.6,9038798.4,9727630.4,4.5,133.8,140.8,110.9,11989348.3,12624329.6,1427777.1,418457.5,403670.6,418457.5
3111799,DEPM 2584 - 40 East 80th St,1-01491-0048,1046451,40 East 80th Street,New York,10075,37,50,59.7,62.3,54.9,6651163.8,6941787.9,10.7,130.2,133.3,119.6,14494276.9,14843909.7,4076117.0,1194641.4,1194641.4,1194642.0
2672587,DEPM 2404 - 136 East 56th St,1-01310-0059,1036528,136 East 56th Street,New York,10028,19,50,81.1,81.6,64.3,15242649.6,15333379.3,8.3,142.0,142.6,112.7,26693824.8,26802976.3,5304129.2,1554551.2,1554551.2,1554551.0
18305202,1420 Crotona Park East,2-02938-0009,2128905,1420 Crotona Park East,Bronx,10460,94,50,55.9,57.7,84.8,2019432.4,2085917.6,6.0,94.3,96.2,143.0,3407676.0,3477485.4,735584.0,215587.3,215587.3,215587.3
3112463,DEPM 2692 - 2148 Broadway,1-01167-7502,1088786,2148 Broadway,New York,10023,88,50,48.8,51.1,68.7,13442854.4,14085329.9,9.0,104.9,107.3,147.7,28919030.7,29593629.9,8459447.7,2479322.0,2479322.0,2479322.0
20480745,27 Prospect Park West,3-01072-0040,3024968,27 Prospect Park West,Brooklyn,11215,92,50,63.4,68.6,93.8,3846409.5,4164681.6,2.9,84.1,89.2,124.5,5104972.2,5415980.7,609281.3,178570.1,174688.5,178570.1
2693214,DEPM 2860 - 47 East 88th St,1-01500-0020,1046953,47 East 88th Street,New York,10128,85,50,60.4,64.3,80.4,10716897.4,11412873.0,4.9,93.5,96.8,124.5,16587327.1,17167401.9,3048334.2,893415.5,868177.0,893415.6
3107671,DEPM 1344 - 311 East 38th St,1-00944-7501,1021933,311 East 38th Street,New York,10016,43,50,74.1,79.7,71.2,9413760.8,10118060.3,5.6,113.3,117.3,108.7,14383772.5,14898902.5,2571042.1,753529.3,715950.2,753529.3
10894242,Progressive - 1108 Findlay Avenue,2-02434-0047,2100937;2002269;2100938,1108 Findlay Avenue,Bronx,10456,30,50,114.6,121.5,100.8,3795121.4,4023789.0,9.0,176.4,181.4,155.1,5840264.4,6004239.9,1060221.1,310733.0,297983.8,310733.0
4951878,AKAM - 201 West 17th Street,1-00767-7503,1086067,201 West 27th Street,New York,10011,54,50,64.9,64.9,67.4,4619589.4,4619589.4,9.9,126.9,126.9,131.9,9039503.5,9039503.5,2393676.9,701546.5,701546.5,701546.6
4952310,AKAM - 250 West 90th Street,1-01237-7502,1033386,250 West 90th Street,New York,10024,26,50,94.9,102.2,80.0,16521399.4,17789082.7,7.8,147.7,153.7,124.6,25715643.8,26754080.8,4781814.0,1401469.3,1352460.7,1401470.0
2673458,AKAM - 305 East 40th Street,1-01333-0001,1038645,305 East 40th Street,New York,10016,43,50,91.5,91.1,87.8,34110714.3,33954133.4,7.4,141.2,140.1,135.5,52623593.4,52185167.0,9604196.2,2814828.6,2768937.3,2814829.0
4940501,ZARA - 148-48 88 Avenue,4-09693-0029,4207097,148-48 88 Avenue,Jamaica,11435,59,50,83.8,87.7,89.1,6987895.7,7309933.2,4.6,115.8,119.4,123.1,9656732.6,9953387.2,1325395.5,388451.1,381503.5,388451.2
21294061,AKAM - 312 East 30th Street,1-00935-0053,1069566,312 East 30th Street,New York,10016,19,50,100.9,104.4,80.0,4826521.9,4991831.7,12.8,185.3,185.9,146.8,8861977.8,8891995.0,2168074.2,635426.1,611383.6,635426.2
2718570,DEPM 2656 - 60 Division Ave,3-02166-0001,3323169;3323168;3323170;3323171;3343951;3353950,"60 Division Avenue/50-54,64-70 Division Avenue",Brooklyn,11211,53,50,90.6,95.9,92.6,53585457.2,56716900.0,7.4,141.0,145.0,144.1,83377760.5,85757272.5,15493160.2,4540785.0,4388632.4,4540786.0
4951954,AKAM - 245 East 25th Street,1-00906-0024,1019831,245 East 25th Street,New York,10010,63,50,70.6,70.6,77.7,14049982.7,14060285.9,5.0,102.1,102.2,112.4,20326973.9,20337792.2,3418611.5,1001937.6,1001937.6,1001938.0
4407519,SW - 118-80 Metropolitan Avenue,4-03322-0105,4079391,118-80 Metropolitan Avenue,Queens,11415,81,50,70.8,75.7,90.2,5104144.4,5458673.8,3.1,93.7,98.1,119.5,6758379.3,7074624.6,799444.4,234303.7,224923.3,234303.7
21053426,Carriage House Management : 1725-1739 Stillwell Avenue,3066437501,3396832,1725-1739 Stillwell Avenue,Brooklyn,11223,100,50,6.6,6.5,37.2,197500.2,193990.3,1.9,18.5,18.2,104.3,553000.6,543172.7,197500.2,57884.0,56855.3,57884.0
4952413,DEPM 1578 - 750 Park Avenue,1-01386-0037,1041364,750 Park Avenue,New York,10021,84,50,59.1,63.9,77.6,4558069.0,4925791.3,3.7,84.0,89.0,110.2,6470500.5,6856609.0,962587.5,282118.2,282118.2,282118.2
21294041,AKAM - 21 West 46 Street,1-01262-0024,1034326,21 West 46 Street,New York,10036,91,50,41.2,43.0,88.2,3087699.0,3223366.3,6.2,82.2,82.3,176.1,6164675.6,6173854.9,1670052.4,489464.3,467144.5,489464.4
7530292,SW - 503 East 78th Street,1-01490-0009,1046414,503 East 78th Street,New York,10075,100,50,17.2,16.6,59.5,816780.8,791057.9,4.5,46.1,44.6,159.8,2191889.9,2119865.6,762440.0,223458.4,215919.4,223458.4
20662112,DEPM 2496 - 40 Bleecker Street,1-00521-7506,1008181,40 Bleecker Street,New York,10012,33,50,50.7,52.2,45.3,5604067.8,5776491.2,12.7,126.6,130.9,113.1,14003159.4,14485944.9,4639364.7,1359719.8,1410254.3,1359720.0
4952497,AKAM - 350 East 62nd Street,1-01436-7502,1072390,350 East 62nd Street,New York,10065,3,50,136.7,144.0,87.1,9239210.4,9731730.6,10.8,206.7,212.8,131.7,13973787.0,14387848.2,2539765.4,744362.6,730709.8,744362.7
4945824,AKAM - 333 East 69th Street,1-01444-0015,1044820,333 East 69th Street,New York,10021,82,50,53.9,53.6,68.7,9364605.6,9304332.2,5.4,89.4,88.4,113.8,15520904.4,15352138.9,3250324.9,952615.6,934950.5,952615.7
2803994,SW - 250 East 63rd Street,1-01417-0028,1043845,250 East 63rd Street,New York,10065,39,50,101.1,100.5,93.4,21099543.8,20981855.2,7.9,151.2,149.6,139.7,31567467.2,31237939.1,5716692.4,1675466.5,1640973.9,1675467.0
2666560,SW - 142-02 84th Dr,4-09712-0161,4207733,142-02 84th Drive,Queens,11370,67,50,99.0,105.9,111.0,5655094.0,6048908.9,4.8,133.3,139.7,149.4,7615197.4,7977731.6,964793.6,282764.8,274228.3,282764.8
18305198,223 East 117th Street,1-01667-0012,1085963,223 East 117th Street,New York,10035,54,50,106.4,112.1,111.5,3623040.6,3815992.5,7.4,157.5,161.9,165.1,5364013.4,5514054.6,891326.2,261232.7,252430.5,261232.8
10894151,Progressive - 148-19 90th Avenue,4-09681-0091,4617758,148-19 90th Avenue,Queens,11435,87,50,56.7,58.3,77.0,3766345.6,3873492.8,5.4,92.0,93.4,125.1,6117392.8,6209969.5,1235845.7,362205.6,358868.1,362205.6
4945513,AKAM - TV3 460 Neptune Avenue,3-07274-0001,3196580,460 Neptune Avenue,Brooklyn,11224,2,50,165.2,182.6,101.6,103246364.7,114099859.9,3.9,198.1,215.0,121.8,123788504.0,134304191.7,8788469.2,2575752.7,2428292.9,2575753.0
4945816,AKAM - 201 East 21st Street,1-00902-0001,1019633,201 East 21st Street,New York,10010,60,50,60.6,62.4,64.9,17603951.9,18123953.5,6.4,103.7,104.0,111.0,30111379.0,30205373.2,6644131.2,1947283.2,1871582.8,1947283.0
10894224,Progressive - 1434 Ogden Avenue,2-02522-0070,2113099,1434 Ogden Avenue,Bronx,10452,44,50,86.3,89.3,83.2,9010964.1,9324921.6,8.0,139.7,141.6,134.6,14585562.0,14783958.2,2928028.4,858155.9,836173.1,858156.0
21294038,AKAM - 159 West 25th Street,1-00801-0008,1015001,159 West 25th Street,New York,10001,99,50,17.8,18.0,65.0,1532456.6,1544938.7,5.3,49.9,50.3,181.8,4288911.8,4323598.5,1531332.8,448807.9,452422.1,448808.0
5864834,AKAM - 181 Clermont Avenue/174 Vanderbilt Avenue,3-02075-7501,3058390;3423539,181 Clermont Avenue/174 Vanderbilt Avenue,Brooklyn,11205,62,50,60.3,62.7,65.3,6395968.4,6650065.7,7.0,105.6,107.5,114.3,11193962.3,11399182.7,2558968.8,749990.8,739677.3,749990.9
2685921,DEPM 1434 - 245 East 54th St,1-01328-0021,1038575,245 East 54th Street,New York,10022,28,50,105.1,111.4,90.8,35118035.2,37205736.9,7.4,156.7,161.0,135.3,52338259.9,53772020.3,8836755.9,2589904.7,2462903.2,2589905.0
3109172,DEPM 1614 - 340 East 93rd St,1-01555-0023,1078668,340 East 93rd Street,New York,10128,57,50,77.4,81.7,81.4,28204886.6,29759102.2,4.3,108.1,111.3,113.7,39362728.3,40518886.6,5570055.6,1632489.7,1552809.9,1632490.0
4952517,AKAM - 305 East 72nd Street,1-01447-7501,1076314,305 East 72nd Street,New York,10021,38,50,76.4,80.5,70.7,14902909.8,15699884.0,6.9,122.7,125.8,113.5,23917915.4,24534138.9,4728735.0,1385912.8,1348967.7,1385913.0
4952003,AKAM - 322 West 57th Street,1-01047-7503,1025450,322 West 57th Street,New York,10019,49,50,84.5,87.5,84.1,68830554.3,71274028.6,5.5,122.9,125.0,122.3,100068267.5,101778396.0,15883534.5,4655197.1,4511918.1,4655198.0
6667534,AKAM - 210 East 73rd Street,1-01427-0038,1043977,210 East 73rd Street,New York,10021,100,50,29.9,29.9,65.4,2272524.9,2272524.9,4.5,57.9,57.9,126.4,4394048.4,4394048.4,1169449.8,342746.1,342746.1,342746.1
2665622,Stellar - 522 Ocean Avenue,3-05099-0106,3117116;3844063;3839898,522 Ocean Avenue,Brooklyn,11226,31,50,97.1,103.9,85.0,8269340.5,8853428.6,5.5,135.7,141.9,118.9,11561804.0,12088676.1,1645140.8,482163.1,467689.8,482163.2
2674032,DEPM 1628 - 1158 Fifth Ave,1-01602-0069,1051458,1158 Fifth Avenue,New York,10029,19,50,123.1,132.5,99.2,19736477.2,21239164.5,4.8,157.5,166.7,126.9,25251794.4,26726839.2,2657752.1,778942.5,761729.8,778942.6
15088530,Kosciusko Street,3-01781-0061,3398195,275 KOSCIUSKO ST,Brooklyn,11221,48,50,81.1,85.0,80.4,2506185.5,2628668.1,8.4,136.1,139.6,134.9,4207869.3,4317112.3,900785.5,264005.1,260762.1,264005.1
6197963,PEMTO REALTY  CORP,2-03209-0065,2014566,55 EVELYN PLACE,BRONX,10468,39,50,125.7,133.5,117.2,5416730.9,5753958.4,4.1,157.8,164.8,147.3,6802738.4,7101822.2,637240.6,186764.5,177552.5,186764.5
4946131,AKAM - 130 Water Street,1-00039-7501,1000884,130 Water Street,New York,10005,6,50,106.4,112.3,71.6,10394913.4,10973835.6,13.9,193.4,198.9,130.1,18888933.7,19429012.6,4667131.9,1367857.9,1360550.1,1367858.0
5764076,DEPM 1018 - 10 Madison Square West,1-00826-7501,1015602,10 Madison Square West,New York,10010,52,50,44.4,44.4,45.2,15345761.9,15345761.9,13.0,124.1,124.1,126.3,42920113.3,42920113.3,15318321.9,4489542.8,4489542.8,4489543.0
21294054,AKAM - 2100 Bedford Avenue,3-05083-7503,3421831,2100 Bedford Avenue,Brooklyn,11226,91,50,34.5,36.4,49.9,3094967.7,3258516.5,7.4,79.2,82.3,114.5,7100184.4,7378063.6,2200267.6,644861.5,662639.6,644861.6
3108490,DEPM 1598 - 935 Park Ave,1-01509-0069,1047539,935 Park Avenue,New York,10028,65,50,73.6,78.6,81.6,4883952.1,5212461.1,4.3,101.6,105.8,112.6,6738313.3,7021670.7,1007474.8,295273.9,287328.3,295274.0
4952828,AKAM - 241 East 76th Street,1-01431-0021,1044075,241 East 76th Street,New York,10065,52,50,102.5,109.7,104.6,8310329.7,8893696.0,6.1,142.5,148.4,145.4,11553765.9,12034798.3,1752228.7,513548.8,495838.1,513548.9
2672675,DEPM 2020 - 83-85 Woodhaven Blvd,4-03907-0975,4435192;4435191;4435193,83-85 Woodhaven Boulevard,Queens,11421,54,50,104.1,108.8,106.9,24720040.3,25835922.4,5.2,140.6,144.9,144.4,33405888.4,34427726.1,4267718.3,1250796.5,1225702.2,1250797.0
2665524,Stellar - 223 2nd Avenue,1-00469-0030,1006906;1802135;1809152,223 2nd Avenue,NY,10003,34,50,105.0,105.0,93.7,6742812.1,6742812.1,9.5,166.3,166.3,148.4,10680504.0,10680504.0,2089632.2,612436.1,612436.1,612436.2
5864827,AKAM - 243 West 60th Street,1-01152-7502,1030315,243 West 60th Street,New York,10023,3,50,100.0,105.2,63.3,7421137.8,7805722.2,12.1,177.7,182.6,112.5,13192743.1,13557093.2,3086027.6,904462.9,897853.7,904463.0
4952016,AKAM - 45 West 67th Street,1-01120-7501,1028260,45 West 67th Street,New York,10023,32,50,78.0,82.0,67.3,18130359.9,19072170.1,9.1,138.0,140.2,119.2,32094928.4,32598204.4,7461743.1,2186911.6,2105581.0,2186912.0
21309613,Progressive - Campus - 7-15 Albany Street,3-01859-0006;3-01859-0010,3053686;3053687,7 Albany Avenue / 15 Albany Avenue,Brooklyn,11216,35,50,97.7,105.3,88.9,7316135.0,7882983.9,4.2,128.3,135.4,116.7,9603678.3,10139687.6,1098135.2,321845.0,311933.4,321845.0
4940505,ZARA - 88-06 Parsons Blvd,4-09762-0028,4208904,88-06 Parsons Boulevard,Jamaica,11432,17,50,99.9,105.7,78.9,5542368.6,5865216.3,3.7,127.1,132.8,100.4,7052657.1,7368652.7,704668.6,206526.5,202675.5,206526.5
10894225,Progressive - 864 Hewitt Place,2-02696-7501,2118990,864 Hewitt Place,Bronx,10459,28,50,82.4,84.4,71.5,8124810.7,8317544.4,7.7,134.1,134.5,116.4,13218184.3,13263112.9,2678361.7,784982.8,758615.1,784982.9
5876480,DEPM 2568 - 435 East 52nd Street,1-01364-0022,1040155,435 East 52nd Street,New York,10022,69,50,73.8,79.5,84.1,34259196.2,36904336.8,6.1,122.5,128.4,139.6,56840047.7,59612474.4,9860610.4,2889979.2,2814772.9,2889980.0
15569044,DEPM 1488 - 26 East 63rd Street,1-01377-7502,1040935,26 East 63rd Street,New York,10065,17,50,87.9,93.2,69.1,8605984.6,9124804.2,9.2,147.5,153.1,116.0,14440003.1,14984763.7,3087839.6,904993.9,904993.9,904994.0
6679479,DEPM 2124 - 41-18 24th Street,4-00413-0032,4004992;4004993;4593964,41-18 24th Street,Queens,11101,92,50,40.3,40.9,58.7,3193085.0,3237443.0,7.7,87.6,89.2,127.6,6936560.2,7060762.6,2047897.7,600204.4,613205.0,600204.5
